Strain,Type,Rating,Effects,Flavor,Description
Carnival,sativa,4.3,"Talkative,Uplifted,Happy,Energetic,Relaxed","Earthy,Pine","Carnival by Ministry of Cannabis is a sativa-dominant strain designed to translate the eccentric, colorful vibe of Carnival from the streets of Brazil into the mind of the consumer. This cerebral strain gets its powerful mental effects from its select Haze mother and its unknown sativa-hybrid father. The scents of citrus and lemon candy explode off the lanky spears created by this plant. Know to thrive both indoors and outdoors, Carnival has a snappy flowering time of only nine weeks. This strain’s upbeat euphoria and general mood alteration makes it a great social strain to share among friends."
Cascadia-Kush,indica,4.6,"Relaxed,Tingly,Sleepy,Aroused,Uplifted","Sweet,Earthy,Flowery","Cascadia Kush is an 80/20 indica bred by Hesperides Gardens in Washington. It combines Alien Kush and Frankenstein genetics to create a powerhouse of relaxing, pain-relieving effects. Cascadia Kush took the award for Best Indica at the 2015 DOPE Cup in Seattle."
Casey-Jones,sativa,4.2,"Uplifted,Happy,Energetic,Creative,Hungry","Earthy,Sweet,Citrus","Choo choo! Casey Jones is coming down the track! Casey was a famous engineer who was killed in a train wreck in 1900. More recently, he's also the name of a Teenage Mutant Ninja Turtles character who's fond of hockey masks and vigilante justice. However, this Casey Jones is a cross between Oriental Express (Trainwreck x Thai) and East Coast Sour Diesel that provides an earthy, sweet palate with subtle hints of citrus. Casey Jones produces pleasant sativa effects that are uplifting and great for releasing your creativity."
Cashus-Clay,hybrid,4.2,"Uplifted,Euphoric,Happy,Talkative,Energetic","Earthy,Pungent,Butter","Cashus Clay, also called Cash Kush, is a clone-only strain from THClones. This flavorful cross is a triumvirate of potent genetics, including True OG, Bubble Gum, and Master Kush. This trio combines rich berry terpenes and pleasurable body effects against a powerful mind expanding euphoria. Even with this strain’s deep indica lineage, the breeder swears by its focused, motivating qualities thus classifying it as a hybrid. Utilize Cashus Clay throughout the day, but mind your dosage. This potent strain can be potentially sedative for the inexperienced consumer.  "
Casper-Og,indica,5,"Relaxed,Sleepy,Euphoric,Hungry,Uplifted","Earthy,Sweet,Pungent","Casper OG is an indica-dominant strain with a unique history. By combining ThaDocta’s Face Off OG and ORGNKID’s Ghost OG, Casper OG (the friendliest OG you know) was brought into being from the great beyond. Known for its squat plants and nine week grow cycle, Casper OG is an ideal indoor grow. This plant delivers traditional indica effects that mellow the mind and body in small doses, but anchors the consumer to the couch with continued use. The terpene profile is rich with OG notes, including earth and delicate citrus. Enjoy Casper OG in the evening to maximize its stress-free relaxation and gradual sedation"
Cat-Piss,sativa,3.9,"Happy,Uplifted,Euphoric,Relaxed,Talkative","Earthy,Woody,Blue,Cheese","Originally a clone-only phenotype of Super Silver Haze, Cat Piss is a sativa-dominant strain that has a uniquely pungent ammonia-like stench reminiscent of its name. It has been crossed with other strains to create seed lines with varying phenotypes including indica-dominant varieties, however it is generally considered to be more of a sativa. The flavors are sweet with undertones of pine, and the high is uplifting and cerebral with a nice relaxing body feel that makes it a good option for daytime use."
Cataract-Kush,hybrid,4.4,"Relaxed,Happy,Hungry,Euphoric,Uplifted","Pungent,Citrus,Sweet","This is the combination of LA Confidential and OG Kush. This strain was created by DNA Genetics and it has blankets of crystals and looks almost grayish-black.The effect is good for pain, eating and sleep disorders. Most describe 
Cataract as a 'creeper' high that keeps on building long after you stop smoking!  This strain has been years in the making and is NOT recommended for the light-weight smoker. After you experience the Cataract Kush you'll think you have cataracts!"
Catfish,sativa,4.8,"Uplifted,Creative,Energetic,Euphoric,Happy","Earthy,Ammonia,Chemical",Catfish is a sativa strain that took 1st place in the High Times' 2014 Michigan Medical Cannabis Cup.
Cello-Sweet-Og,hybrid,4,"Sleepy,Relaxed,Uplifted,Creative,Euphoric","Sweet,Spicy/Herbal,Pineapple","Colorado Seed Inc. pays homage to new school and old school genetics in Cello Sweet OG. This cross combines DJ Short’s Flo, a living cannabis virtuoso, and Secret Garden OG, CO Seed’s Kush bomb, to create a connoisseur-quality strain with potency and dimension. With effects that range from cerebral to sedative, this strain contains movements like a symphony, rising into a meditative mind with a decrescendo into full-body relaxation. "
Central-American,sativa,4,"Relaxed,Euphoric,Happy,Hungry","Earthy,Diesel,Sweet","Central American refers to the indigenous varieties of cannabis (or landraces) that grow natively in this region of the world. Because of this region's latitude and climate, these native landrace strains tend to be sativa in structure and effect. "
Cerebro-Haze,sativa,4.2,"Uplifted,Happy,Relaxed,Creative,Energetic","Pepper,Citrus,Vanilla","Cerebro Haze is a sativa-dominant strain that crosses Brain OG with Tom Hills Haze. As its name suggests, Cerebro Haze focuses its efforts in the head and provides a clean, clear buzz that allows you to stay active and functional. Despite its sativa influence, Cerebro Haze still provides relaxing full-body effects preferred by patients treating pain and headaches."
Chairman-Chem-Sou,hybrid,4.4,"Energetic,Happy,Uplifted,Creative,Euphoric","Diesel,Pepper,Citrus","Chairman Chem Sou is another Chemdawg cross from Royal Choice Farms. This tart combination unites the ever-popular Chemdawg with Sour OG for a sour, spicy aroma and an equal measure of mental and physical effects. It has been known to suppress the appetite, elevate mood, and encourage physical activity. The palate is sweet and tangy, offering notes of citrus and pine with a fuel-like finish.   "
Champagne-Kush,hybrid,4.2,"Happy,Uplifted,Relaxed,Euphoric,Talkative","Citrus,Sweet,Earthy","Champagne Kush is an indica-dominant hybrid that offers a variety of attributes suited to different tastes and ailments. With a pleasant and palpable weight on the limbs coupled with a heady, thoughtful mind, this strain adapts to the consumer’s needs with dosage. On the lighter end, expect a headier trip with mood enhancing effects that generally lead to a sense of well-being. But with continued consumption, this strain can lead to a weighted body and mind that feels meditative at its core.    "
Charlie-Sheen,hybrid,4.6,"Happy,Euphoric,Relaxed,Sleepy,Focused","Pine,Sweet,Lemon","Charlie Sheen is an indica-dominant hybrid, parented by Green Crack, OG Kush, and Blue Dream. These lemon-scented buds taste likewise, with a distinct undercurrent of kush. The effects are relaxing and uplifted, with a lengthy, sleepy come-down great for pain relief and insomnia."
Charlottes-Web,sativa,4.5,"Relaxed,Uplifted,Focused,Happy,Energetic","Earthy,Flowery,Sweet","Charlotte’s Web is a cultivar with less than 0.3% THC that has gained popularity as an option for treating seizures as well as a range of other medical conditions. This medical potency is due to its high-CBD content, which was specifically cultivated by Colorado breeders The Stanley Brothers for a young epileptic patient named Charlotte. Contrary to popular belief, Charlotte’s Web is a hemp-derived product with little to no psychoactive effects, making it great for those who don’t want their medication to affect their daily tasks. Charlotte’s powerful web may cause dizziness for some patients, so new users should be cautious. Learn more about Charlotte's Web here."
Cheese,hybrid,4.1,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Cheese,Earthy,Pungent","Named for its sharply sour aroma, Cheese is an indica-dominant hybrid from the U.K. that has achieved widespread popularity for its unique flavor and consistent potency. With origins that stretch back to the late 1980s, Cheese is said to descend from a Skunk #1 phenotype whose pungent aroma made it stand out. Breeders like Big Buddha Seeds later introduced Afghani indica genetics to increase Cheese’s trichome production and yields. The resulting hybrid is now well-known for its relaxed, happy effects that gently ease you into a blissful state of mind."
Cheese-Candy,hybrid,4.3,"Relaxed,Uplifted,Happy,Sleepy,Creative","Cheese,Sweet,Pungent","Cheese Candy by Delicious Seeds is the hybrid lovechild of Cheese and Caramelo, a combination of parent strains that results in an unusual fusion of sweet candy and sharp cheese flavors. The sweet and sour aroma is accented by flowery, fruity flavors which usher in Cheese Candy’s deeply relaxing characteristics. Its long, slender buds are wrapped in fiery orange hairs that stand in vibrant contrast to this hybrid’s sage green hues."
Cheese-Quake,hybrid,4.3,"Euphoric,Uplifted,Relaxed,Tingly,Happy","Ammonia,Citrus,Rose","Cheese Quake by TGA Subcool Seeds is a 60/40 indica-dominant cross between Cheese and Querkle.  A hint of grape is detectable, but its aroma is led by the funky sour aroma commonly associated with Cheese hybrids. Expect to feel tingy invigoration followed by uplifting body sensations to help you feel relaxed and carefree."
Cheeseburger,hybrid,3.3,"Tingly,Uplifted,Relaxed,Aroused,Creative","Cheese,Pepper,Tea","Cheeseburger by Cannasol Farms (of Omak, Washington) is a deep, sumptuous strain that leaves the consumer feeling satisfied, like a cheeseburger after a hard day’s work. With a long, mysterious heritage coming out of Okanogan, this indica-dominant strain was entrusted to Cannasol to ensure its wholesome genetics were preserved. With yield-per-plant weight reaching several pounds each, this plant grows and grows. Cheeseburger has been known to grow especially well with long summer nights, and matures when the first ears of corn ripen on the stalk."
Cheesewreck,hybrid,4.3,"Happy,Relaxed,Uplifted,Creative,Euphoric","Cheese,Woody,Pungent","Cheesewreck is a sativa-dominant hybrid bred by Seedism Seeds that brings together the pungent, sour aroma of Cheese with the staggering potency of Trainwreck. The effects of this hybrid may not settle in right away, but when they do, Cheesewreck reminds you of its Trainwreck genes with crushing euphoria and full-body relaxation. Cheesewreck trails off into a comfortable sleepiness over time and settles racing thoughts as you wind down for the night. High yields of Cheesewreck will be ready for harvest following its 9 to 10 week flowering cycle indoors."
Chem-Crush,hybrid,4.1,"Talkative,Energetic,Happy,Creative,Uplifted","Sweet,Earthy,Pungent",Chem Crush is a hybrid strain that took 2nd place in the 2014 Denver Cannabis Cup.
Chem-Dog,indica,4.7,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Lavender,Sweet,Citrus","Chem D.O.G., not to be confused with Chemdawg, is a potent Chemdawg and OG Kush cross that harnesses the best qualities of either strain. With an expansive terpene profile that includes limonene, caryophyllene, and myrcene, this strain has a spiced citrus nose with touches of chemical and earth. This bouquet of aromas illustrates the complex effects nestled below Chem D.O.G.’s frosty greenery, which offer soothing physical relaxation after a powerful rush brought on by the strain’s high THC content."
