Strain,Type,Rating,Effects,Flavor,Description
Anubis,indica,5,"Relaxed,Sleepy,Creative,Focused,Aroused","Grape,Lime,Earthy","Anubis by Pyramid Seeds is the indica-dominant cross of Somango and Wembley. This strain has been known to produce THC levels around 18% with touches of CBD and CBN that make this strain relaxing without being overly sedating. Anubis has a sweet aroma and a flavor some might describe as grapefruit or citrus peel, as well as calming physical effects that creep across the limbs. While growing, this plant remains short and squat, making it ideal for indoor or low-profile growers. This indica has a 56 to 63 day flowering time."
Ape-Shit,hybrid,5,"Happy,Relaxed,Uplifted,Giggly,Talkative","Sweet,Grape,Lavender","Ape Shit is the genetic offspring of three quality cannabis strains. By crossing Purple Urkle, Acapulco Gold, and Cinderella 99, this hybrid strain blends deep body effects against bright, heady mental energy. Certain phenotypes exhibit a strong grape odor, but typically this strain smells of lavender with a touch of sweetness. Enjoy this strain as a means to quell depression and anxiety.  "
Apollo-11,hybrid,4.4,"Uplifted,Happy,Euphoric,Relaxed,Creative","Pungent,Citrus,Lemon","Apollo 11 is a potent hybrid cannabis strain with strong cerebral effects that might just have your head feeling like it’s making a moon landing. It’s another strain created by breeders Brothers Grimm and is the half-sister to another heady sativa, Apollo 13. Apollo 11 also has Genius (a Jack Herer phenotype) as a mother, but was crossed with Cinderella 99 to create this uplifting strain. This Apollo shares the family trait of an extremely fast flowering time, usually before 8 weeks. There is some variety among plants, but in general they will stay shorter and develop lots of branches and bud sites. The resinous flowers will have a strong, sharp citrus aroma and a slightly subtler lemon flavor. Effective for treating stress and moderate pain, for a few hours this strain will give you a first-class trip out of this world."
Apollo-13,hybrid,4.4,"Happy,Euphoric,Energetic,Uplifted,Creative","Earthy,Spicy/Herbal,Sweet","Apollo 13 consistently receives quite a bit of praise that has come to be expected with strains created by breeders Brothers Grimm. A cross between two of their other successful strains, P75 and Genius (a Jack Herer phenotype), this strain has a decorated lineage. Apollo 13 has the distinction of being especially rare as it is said that only 500 seeds came from the original stock and the few cuttings are the stuff of legend. This plant is less finicky than most and is often recommended for new grower. It also flowers very quickly at 7-8 weeks, producing large sticky buds. Apollo 13’s aroma is unique and very pungent. Its scent has been described as peppery and earthy with a punch of both sour fruit and citrus, while the taste takes on the herbal notes of tea with a skunky aftertaste. As its name suggests, this strain will have your head in the clouds as its effects are cerebral and energizing. While the more popular version of this hybrid is the sativa-dominant plant, be aware that an indica-dominant version is also out there."
Appalachia,hybrid,4.8,"Relaxed,Euphoric,Happy,Creative,Giggly","Pungent,Skunk,Earthy","Appalachia is a hybrid cross between Green Crack and Tres Dawg bred by High & Lonesome Seeds. A layer of white, cloudy trichomes gives the buds a sage green color with darker leaves and fiery hairs peeking out from underneath. With an aroma of earthy pine and subtle fruit, Appalachia delivers a dreamy and yet functional cerebral buzz paired with relaxing full-body effects. Sensory perception and appetite are sharpened while pain and other symptoms dull, making Appalachia a coveted strain among medical patients and recreational consumers alike."
Appalachian-Power,sativa,4.3,"Euphoric,Creative,Focused,Talkative,Uplifted","Tropical,Grape,Sweet","Appalachian Power by Soulshine Cannabis is a potent sativa-dominant strain with a rich genetic lineage. By crossing The Appalachian (Grape Punch x Life Saver) with The Power (Island Sweet Skunk x White Widow), Appalachian Power was born. With a deep roster of genetic varieties at its back, it’s no surprise that Appalachian Power’s aroma and flavor offer a unique and rewarding palate of grape, banana, and pineapple. The effects pack a stimulating kick that is not for the faint of heart. It can cause mild paranoia in the uninitiated, but if the dosage is respected, this strain can suit all manner of physical activity and combat lethargy."
Apple-Jack,hybrid,3.6,"Happy,Relaxed,Focused,Energetic,Tingly","Apple,Sweet,Earthy","Apple Jack is the beautiful and popular hybrid cross of Jack Herer and White Widow. This potent combination embodies the uplifted clarity of Jack Herer while applying a warm, soothing relaxation to the body. This strain works wonders for patients and consumers suffering from chronic physical pain and nausea. Apple Jack’s aroma, as you might guess, is one of sweet sliced apples with hints of skunk and earth."
Apple-Kush,hybrid,4.6,"Relaxed,Euphoric,Uplifted,Happy,Tingly","Apple,Diesel,Pungent","Apple Kush is the indica-dominant hybrid cross of Sour Diesel and Pure Kush. This strain leads with powerful cerebral effects that align well with people suffering from depression or anxiety, and follows with body effects that are ideal for curbing inflammation. Indulge in this Oregonian favorite later in the day, as the strain’s creeping sedative effects can be rather weighty.   "
Appleberry,indica,4.6,"Relaxed,Happy,Sleepy,Hungry,Euphoric","Berry,Apple,Sweet","Appleberry by Sumo Seeds in an indica-dominant yield machine. Bred from (Dynamite x Bubblelicious) x White Widow, this strain has classic Central Asian and Central American roots while expressing a terpene profile all its own. The strain’s aroma exemplifies its title, smelling of a subtle apple and berry. Its effects are extremely relaxing, bordering on sedative, imbuing the limbs with a warm weighted aura. Utilize Appleberry as an anxiolytic and for all-around pain relief. Appleberry won 1st place in the 'Bio' category at the 2016 Highlife Cup in Amsterdam."
Arabian-Gold,sativa,4.1,"Euphoric,Tingly,Giggly,Sleepy,Creative",,"Arabian Gold is a heavy sativa strain of mysterious origins. It may leave most consumers feeling mentally checked out, so you could feel foggy-headed and, for example, lose your train of thought when conversing with friends. "
Arctic-Sun,hybrid,4.3,"Creative,Relaxed,Energetic,Euphoric,Focused","Ammonia,Skunk","Cultivated by Flying Dutchman, Arctic Sun is a 60/40 sativa-dominant hybrid of Skunk #1 and White Widow. These two crosses create a pungent fuel-like tang with floral undertones. When consumed, a robust burst of euphoria and energy comes through, stimulating both social interaction and creativity. Patients often look to this strain for relief of chronic pain, sleeplessness, and muscle spasms."
Arcticblue,hybrid,4.8,"Happy,Uplifted,Euphoric,Energetic,Relaxed","Blueberry,Sweet,Earthy","ArcticBlue is a 60/40 indica-dominant hybrid cannabis strain cultivated by ArcticBlue Farms. Bred using DJ Short’s Blueberry and another Blueberry indica, you are immediately struck with the sweet and fruity scent of ripe blueberries. Patients may look to this strain to help suppress anxiety and relieve pain."
Area-51,hybrid,4.4,"Happy,Uplifted,Relaxed,Euphoric,Creative","Earthy,Citrus,Sweet","A sativa-dominant hybrid of unknown origin, Area 51 has a sweet smell with citrus and floral undertones and a smooth flowery smoke.  Area 51 is a potent strain that will give consumers an immediate feeling of euphoria along with a relaxed yet motivated mental focus."
Argyle,indica,3.9,"Happy,Uplifted,Relaxed,Sleepy,Focused","Spicy/Herbal,Pungent,Earthy","Argyle is a variety of Nordle grown by Canadian LP Tweed, Inc. The indica-dominant hybrid crosses Afghani and Sensi Star genetics. The resulting buds smell of garlic and herbs, like fresh cut chives but with a fruity aftertaste. With a 1:1 ratio of THC to CBD Argyle creates a mellow, calming buzz that is a great answer to body pains and muscle spasms."
Arjans-Strawberry-Haze,sativa,4.3,"Happy,Uplifted,Talkative,Relaxed,Creative","Strawberry,Sweet,Berry","Arjan's Strawberry Haze was created by Arjan and introduced on the market in 2006. In 2005, Strawberry Haze won 1st prize at the Green House Very Important Smokers Panel. The buds of Strawberry Haze smell of strawberries and provide a sweet taste, which is heightened when roots are given free reign in soil. It is characterized as a tall plant with long branches. It is a simple plant to grow and maintain, as it is known to be adaptable to humidity. Flowering time is approximately 10 weeks with a THC level up to 20% and CBD of 1.2%."
Arjans-Ultra-Haze-1,sativa,4.8,"Euphoric,Focused,Energetic,Relaxed,Creative","Minty,Earthy,Mint","Arjan’s Ultra Haze #1 is a Dutch sativa bred by Green House Seeds, who combined Neville’s Haze with landrace strains from Cambodia and Laos. With mellow effects that stay cerebrally centered, this strain is perfect for those seeking introspective, meditative moments or a light, active buzz. Four Cannabis Cup placements have won Arjan’s Ultra Haze #1 a sterling reputation, but growers will have to wait with agonizing patience for its buds to finish their 13 weeks of flowering."
Armageddon,hybrid,4,"Uplifted,Giggly,Happy,Relaxed,Talkative","Diesel,Woody,Tropical","Armageddon sounds pretty intimidating and while this strain is potent, consumers come down from its intense mental lift to find the world still exists—it just feels a little more relaxing. This strain’s plants flower quickly at 8 weeks and produce high yields of multi-colored buds that smell strongly of woodsy citrus. The citrus notes carry over into the taste, which is diverse and includes cheese and some fruitiness as well. Armageddon tends to have medium-high to high THC levels, packing a powerful punch for some consumers while others find the initial head effects great for day use and stimulating conversation. Eventually Armageddon mellows into solid body relaxation to finish off its exceptionally long buzz."
Armagnac,hybrid,4.2,"Relaxed,Sleepy,Talkative,Giggly,Happy","Spicy/Herbal,Sweet,Flowery","Armagnac, bred by New House Seeds, is a hybrid that combines Krome’s The White with DJ Short’s Grape Kush. The strain takes its name from a specie of grapes native to the Gascony region of France and used for making brandy. Armagnac’s aroma is a mix of sweet, earthy flavors that give off a pungent fruit flavor of fresh grapes when exhaled. The effects are a mellow mix of a relaxed body and a refreshed mood, great for relieving pain and anxiety."
Ash,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Pungent,Skunk,Spicy/Herbal","Ash is an indica-dominant hybrid cross between Afghan Haze and Afghan Skunk bred by Mr. Nice Seeds. These buds offer a fruity, berry aroma and effects that run the gamut between relaxing indicas and stimulating sativas. This strain's name, sometimes spelled A.S.H., is an acronym denoting its Afghani, Skunk, and Haze lineage. "
Asian-Fantasy,sativa,4.4,"Euphoric,Hungry,Happy,Relaxed,Talkative","Earthy,Skunk,Woody","After repeated rumors that this strain suffered extinction thanks to a secretive breeder, enough sightings occur regularly to ensure that while rare, the Asian Fantasy strain does still exist. Its genetics, however, remain a mystery. What’s clear is that this strain has a healthy dose of sativa in it that will get ideas and creativity flowing. It’s also a beauty, with large, curled buds that have a covering of brick red hairs. The flowers emit a sweet and sour fragrance while the taste has a healthy dose of spice."
Aspen-Og,hybrid,4.1,"Focused,Happy,Energetic,Relaxed,Talkative","Blueberry,Spicy/Herbal,Earthy","Aspen OG by 303 Seeds is a testament to how rich the Rocky’s cannabis heritage really is. This Sour Cream and SFV OG cross “is sweet like Aspen in the summer and coated white like Aspen in the winter,” topped with glistening trichomes that shimmer like snow. Aspen OG combines physical elements from each parent to easily curb moderate pain and stimulate the appetite. Expect earthy flavors with a sweet berry undertone.  "
Astroboy,sativa,4.5,"Relaxed,Energetic,Happy,Creative,Focused","Sweet,Citrus,Grapefruit","Astroboy is an energetic, sativa-dominant hybrid cannabis strain that combines Apollo 13 genetics with a cross of Ortega and Cinderella 99 bred by TGA Subcool Seeds. A mix of sweet and sour fruit flavors, like citrus and cherry, lead the way towards a heady buzz that is fast-acting and uplifting. The cerebral energy sparked by Astroboy is a great choice to keep you happy and active throughout a busy day. The watermelon phenotype of Astroboy is known to be an exceptional expression of the strain and is often desired as an influence for other breeding projects."
Athabasca,indica,4.6,"Talkative,Uplifted,Happy,Relaxed,Giggly","Earthy,Ammonia,Diesel","Athabasca is a variety of the strain Pennywise grown by Canadian LP Aphria. Genetics from Harlequin and Jack the Ripper come together to create a sweet woody aroma that is highlighted by sharp peppery undertones. With a 1:1 ratio of CBD to THC the psychoactive effects are mild yet relaxing, making Athabasca an effective treatment for arthritis, PTSD, and epilepsy."
Atmosphere,hybrid,4.8,"Uplifted,Euphoric,Relaxed,Happy,Tingly","Flowery,Sweet,Citrus","Atmosphere is a balanced hybrid cross between two predominant strains: White Widow and OG Kush. Its frosty, resinous buds offer a piney aroma with citrus undertones. Effects are largely cerebral, inducing euphoria and creativity at onset and settling into physical relaxation."
Atomic,hybrid,4.5,"Happy,Relaxed,Talkative,Creative,Euphoric",Earthy,"Atomic by Bomb Seeds is a deep blend of potent genetics. OG Kush was crossed with Chemdawg, which was then crossed with THC Bomb to create Atomic. This blend of THC-dominant genetics lends Atomic potency that isn’t meant for everyone. Be warned that this intense high hits with a rush to the head and settles into a long-lasting body stone that evaporates stress and worries. Atomic has a fair yield and a Kushy flavor that is thick with gas and forest aromas. Enjoy Atomic after you clear your schedule as its effects may change your plans. "
Atomic-Goat,hybrid,4.8,"Relaxed,Uplifted,Giggly,Tingly,Happy","Spicy/Herbal,Nutty,Sage","Atomic Goat is a Seattle-born staple that came about in 2010 when a Chernobyl male pollinated a Golden Goat clone. This hybrid offspring inherits a sweet herbal aroma likened to that of sage as well as a heavy coat of crystal trichomes that often push Atomic Goat past the 20% THC mark. Although Atomic Goat induces deep relaxation of the mind and body, it allows enough energy to shine through to justify its daytime use."
Atomic-Northern-Lights,hybrid,4.2,"Talkative,Uplifted,Hungry,Tingly,Focused","Earthy,Pungent,Flowery","Atomic Northern Lights has a history of world travel. In the 1980s, Afghani indica seeds were brought to the U.S. and bred with Thai Haze. The result was known as Northern Lights, a three-time Cannabis Cup winner during its stay in Holland, where it was developed and stabilized by Sensi. Northern Lights then went to Canada and Dr. Atomic Seeds recrossed it with its own distant relatives. The result was an indica-dominant strain with fast flowering times (approximately 8 weeks), short stocky plants, and a mind/body sensation with an uplifting effect. Atomic Northern Lights' scent has been described as pungent and the strain has a sweet flavor."
Atomical-Haze,sativa,4.4,"Happy,Relaxed,Energetic,Uplifted,Creative","Pungent,Minty,Citrus","Atomical Haze is an 80/20 sativa-dominant strain bred by Paradise Seeds. A cross between Haze, an Indian sativa, and Sweet Afghan, you will first notice the smell and taste of kiwi and finish off with that classic spicy Haze flavor. A long-lasting buzz will having you feeling motivated and ready for what the day brings. These resin-caked buds will be ready for harvest in about 9 weeks and are ideal for indoor gardens."
Aurora-Borealis,indica,4.2,"Happy,Euphoric,Relaxed,Sleepy,Hungry","Earthy,Woody,Sweet","Also known as A-B, Aurora B., or simply Aurora, Aurora Borealis is a Flying Dutchmen strain resulting from a cross between a carefully selected Northern Lights #10 and a sweet Skunk #1 father. A vigorous plant with heavy resinous buds, this strain has the best attributes from both its parents. Aurora Borealis grows into a medium size plant similar to Skunk#1, and has a sweet and fruity taste with a hashy sharpness. Very high yields and a fast maturation time make this cross an ideal cash-cropper both indoors and out. The subtle, calming effects have helped this strain gain popularity in the Netherlands and Canada with its sweet, skunky flavors and earthy undertones."
Aurora-Indica,indica,4.4,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy,Spicy/Herbal,Tropical","Aurora Indica, bred by Nirvana Seeds, is a 90% indica cross between Afghan and Northern Lights. Fulfilling our expectations of an indica, this strain induces heavy full-body effects and a sedating cerebral calm. Aurora Indica is a potent strain for evening treatment of insomnia, pain, and other conditions requiring a restful night’s sleep. The short plants produce dense, bulky buds dusted in a thick layer of crystal resin. Different phenotypes emerge under different growing conditions, giving way to variable bud structures and aromas ranging from fruity to floral. Nirvana Seeds recommends a 9 to 11-week flowering time for indoor gardens, or a mid-September harvest for outdoor growers."
Avalon,hybrid,3.6,"Aroused,Tingly,Hungry,Uplifted,Giggly","Sweet,Earthy,Nutty",A selectively bred cross between Afghani and Blueberry.  Avalon has strong sedating effects with a hashy taste.
Avi,hybrid,3,"Relaxed,Focused,Uplifted,Creative,Happy","Earthy,Pungent","Avi is a high-CBD strain grown by Canadian LP Peace Naturals Project, Inc. It is a balanced hybrid, 50% indica and 50% sativa, with a 2:1 CBD:THC ratio. Its pungent aroma carries sweet hints of fruit and berry that create relaxing and calming effects perfect for relieving body aches and pains."
Avi-Dekel,hybrid,4.5,"Relaxed,Uplifted,Happy,Focused,Energetic","Earthy,Flowery,Sweet","Avi-Dekel is a sativa-dominant strain developed by Tikun Olam to contain high levels of CBD and almost no THC. Its CBD content, reaching as high as 15.8 percent, is intended to treat inflammation as well as sleep and digestive disorders. Avi-Dekel is ideal for patients seeking relief without the psychoactive effects of THC."
Ayahuasca-Purple,indica,4.4,"Relaxed,Euphoric,Sleepy,Happy,Tingly","Spicy/Herbal,Pungent,Earthy","Ayahuasca Purple by Barney’s Farm is a deeply relaxing indica-dominant cross of Master Kush and Red River Delta. The primary aromas are unique, expressing hints of hazelnut and papaya. This indica-dominant strain develops deep purple foliage and is sensitive to overfeeding. Enjoy Ayahuasca Purple at the end of the day to maximize its relaxing, full-body effects.  "
Azure-Haze,hybrid,4.4,"Relaxed,Uplifted,Focused,Euphoric,Happy","Berry,Sweet,Blueberry","Legendary breeder DJ Short is at it again, this time adding his famous Blueberry genetics to the multiple award-winning Bay Area clone Super Silver Haze to create an easy-to-grow hybrid that produces massive yields of elongated, spear-shaped flowers. Those who pay attention to lineage may say, “Wait, isn’t this just Blue Dream?”, but the Azure Haze is fathered by a male that is one step closer to the parental genetics (in this case, an f4 Blueberry) than the Blue Dream father (an f5), thus making it a distinct hybrid.  Azure Haze presents a fruity palette of terpenes and an upbeat, long-lasting high that slowly gives way to deep, dreamy relaxation. Its THC content can generally be measured between 18-24%."
B-52,indica,4.1,"Relaxed,Happy,Giggly,Focused,Uplifted","Sweet,Woody,Earthy","B-52 is a 75/25 indica-dominant cross between Skunk and Big Bud. This hybrid by Nirvana Seeds is a sweet mix of skunky flavors that have remarkable cerebral effects for a strain that leans towards the indica end of the spectrum. It is a great strain for commercial production but its unique heady effects are enjoyed by connoisseurs and those with an affinity towards the Skunk family tree. A great strain for the relaxing while watching a movie, B-52 will leave you giggling and flying high."
B-Witched,hybrid,5,"Euphoric,Relaxed,Happy,Hungry,Sleepy","Earthy,Sweet,Citrus","B-Witched by Ocean Grown Seeds is a magical cross of arcane genetics. By combining OGS Wizard’s Potion and the famous Witches Weed, a frosted herbaceous phantasm is brought to life, exhibiting notes of grape, forest floor, and grapefruit. Its terpene profile has also been described as “cupcake-ish.” The effects of B-Witched are enthralling, muting stress, anxiety, and nausea with ease. "
B-Witched,hybrid,5,"Euphoric,Relaxed,Happy,Hungry,Sleepy","Earthy,Sweet,Citrus","B-Witched by Ocean Grown Seeds is a magical cross of arcane genetics. By combining OGS Wizard’s Potion and the famous Witches Weed, a frosted herbaceous phantasm is brought to life, exhibiting notes of grape, forest floor, and grapefruit. Its terpene profile has also been described as “cupcake-ish.” The effects of B-Witched are enthralling, muting stress, anxiety, and nausea with ease. "
Bb-King,indica,3.8,"Sleepy,Happy,Relaxed,Uplifted,Creative","Lemon,Earthy,Citrus","B.B. King, named in honor of the Blues musician and songwriter, is an indica-dominant strain bred by MTG Seeds that crosses Blackberry Kush and Space Monster. A sweet and earthy flavor ushers in B.B. King’s sedating effects, which lull both body and mind into deep relaxation. If sleep doesn’t hit you first, be prepared to address a ravenous appetite. This indica typically blooms with dark purple-tipped flowers, highlighting its contrasting blanket of white crystal resin."
B4,hybrid,4.5,"Happy,Uplifted,Euphoric,Focused,Relaxed","Spicy/Herbal,Berry,Skunk","B4, bred by MTG Seeds, is a hybrid cannabis strain that descends from Blue Dream and Chemdawg 4. Blissful, lightweight euphoria helps incite happiness and laughter, making this strain a perfect choice for stress and anxiety relief. Green-blue hues peek out from under a silvery coat of crystal trichomes, and its dense bud structure is telling of its OG Kush ancestry. "
Bc-Big-Bud,hybrid,4.5,"Relaxed,Euphoric,Happy,Creative,Sleepy","Earthy,Pungent,Tropical","A cousin to the indica-dominant Big Bud cannabis strain from Amsterdam, BC Big Bud is a mostly sativa hybrid with potent cerebral effects. This fruity, citrus-smelling strain hailing from British Columbia delivers a balanced combination of indica and sativa sensations as well as relief to pain and nausea. As its name suggests, BC Big Bud plants produce colossal harvests after its 8 to 9 week flowering period that have both growers and consumers swooning."
Bc-Roadkill,hybrid,4.5,"Euphoric,Uplifted,Happy,Giggly,Relaxed","Skunk,Earthy,Woody","BC Roadkill is another strain that British Columbia is proud to call their own. This top-shelf strain is rumored to be one of the stinkiest out there (though not in the same way that roadkill is). Growers love this strain for its consistent above average yields and 8 week flowering time. The flowers will be large and purple-blue with red hairs, and they typically reek of skunk and citrus. Its musky aroma is due to its BC Roadkill Skunk parent, which was bred with Deep Chunk to create this hybrid. Consumers also flock to scoop up this Roadkill for its strong buzz that is relaxing and trancey without being a complete knockout. Sleep may come easily, but so may euphoria and happy conversation, making this a daytime choice for many treating anxiety and stress."
Bc-Sweet-Tooth,indica,4.3,"Uplifted,Happy,Relaxed,Sleepy,Euphoric","Sweet,Honey,Tree,Fruit","Developed in British Columbia by BC Bud Depot, BC Sweet tooth is an indica-dominant hybrid known for its quick flowering time and candy taste.  A hardy plant, this strain can be grown outdoors where it can flower in under 7 weeks, but it prefers the indoors where it may flower as soon as 6 weeks. The result of a cross with earlier generations of BC Sweet Tooth and classic Sweet Tooth, these sugary flowers are sure to satisfy your craving. The crystalline buds have a strong, sweet smell with a hint of citrus, and users report that this treat satisfies with a long-lasting, potent feeling that hits fast."
Bcn-Diesel,hybrid,5,"Sleepy,Focused,Happy,Hungry",None,"BCN Diesel by Kannabia Seed Company is a pungent hybrid cross of familiar and potent genetics. Created by crossing NYC Diesel and Black Domina, this strain produces dense, bullet-shaped buds that stink of citrus and fuel. It achieves this bud structure and density through the addition of Black Domina while the NYC Diesel contributes to the strain’s heady, energetic buzz. BCN Diesel has a snappy 8 week flower time, but has been known to benefit from an extra week for maximum yield and potency. "
Bog-Bubble,hybrid,4.4,"Uplifted,Happy,Relaxed,Creative,Hungry","Flowery,Berry,Earthy","BOG Bubble is an indica-dominant hybrid bred by B.O.G. Seeds. These frosty, sticky buds offer a sweet, bubblegum aroma and deliver long-lasting, uplifting effects. Grows are successful indoor or outdoor, flowering between 45 and 50 days."
Bsc,hybrid,4.5,"Relaxed,Happy,Hungry,Euphoric,Giggly","Earthy,Pungent,Sweet","BSC is a hybrid cannabis strain that follows in the footsteps of its Girl Scout Cookies parent, but named for the youthful scouting group's male equivalant. With potent effects that hug the mind and body in tranquil euphoria BSC introduces deep, heavy relaxation throughout the body, but not before making your head reel with calm and happy thoughts. The cerebral buzz tapers down into a foggy daze that helps you abandon worries and slide into a low-key afternoon or a restful night’s sleep. Putting your nose in a jar of BSC isn’t altogether unlike stealing a smell from the cookie jar in your kitchen as sweet, earthy aromas burst forth with subtle notes of woody pine."
Bad-Azz-Kush,hybrid,5,None,,"Bad Azz Kush by Barney’s Farm was created with the help of rapper Bad Azz of Dogg Pound Gangsta Crips. While the full story remains untold, Bad Azz contributed to this new Kush cut that brings traditional OG elements to the table while elevating yield and flavor. Bad Azz Kush is known to express hash and berry aromas with an earthy, spicy flavor on the palate. It is a cross of OG Kush, Purple Urkle, and Afghan Kush. This strain’s weighted physical effects and carefree euphoria make it a perfect end of the day smoke. "
Bakerstreet,indica,3.7,"Euphoric,Relaxed,Giggly,Happy,Sleepy","Earthy,Diesel,Sweet","Bakerstreet is a variety of Hindu Kush grown by Canadian LP Tweed. It is a pure indica with origins in the Hindu Kush mountain range. The subtle sweet and earthy sandalwood aroma of Bakerstreet induces a deep sense of calm that helps bring relief to those suffering pain, nausea, and stress disorders. Its heavy body effects make it a top strain to help you relax and unwind at the end of a long day. "
Balmoral,hybrid,4.2,"Relaxed,Happy,Uplifted,Focused,Talkative","Earthy,Cheese,Pine","Balmoral is a variety of UK Cheese grown by Canadian LP Tweed, Inc. It carries the classic skunky blue cheese aroma that has given the Cheese strains their global reputation. The relaxing yet balanced effects of Balmoral help keep nausea and pain at bay while keeping stress and anxiety to minimum."
Banana-Candy,indica,4.2,"Relaxed,Euphoric,Uplifted,Creative,Happy","Tree,Fruit,Earthy,Sweet",
Banana-Cream-Og,hybrid,4.8,"Relaxed,Creative,Tingly,Uplifted,Focused","Minty,Mint,Pine","Banana Cream OG is grown by Vagrant Hill Farms of Forest Grove, Oregon. This strain is a hybrid cross of Blue Dream, Banana OG, and Ocean Beach OG. It emits strong notes of orange and spearmint, and expresses tight lime green buds. Not much more is known about this strain other than its heavy, OG-forward effects that lay into the body and gain weight with continued consumption."
Banana-Diesel,hybrid,4.4,"Happy,Uplifted,Euphoric,Relaxed,Giggly","Diesel,Earthy,Skunk","Banana Diesel balances the polar effects of its parent strains, Banana Kush and Super Sour Diesel. A slightly energizing kick followed by intense focus makes this a perfect strain for daytime consumption with effects that steer clear of undesirable lethargy. These thick, pale green buds reek a sweet, fruity aroma and preface the tangy taste to come. Banana Diesel is a potent appetite stimulant and stress combatant, suitable for either weight or mood disorders."
Banana-Kush,hybrid,4.3,"Happy,Relaxed,Euphoric,Uplifted,Talkative","Sweet,Tropical,Tree,Fruit","This legendary West Coast strain crosses Ghost OG and Skunk Haze to create an indica-dominant hybrid that tastes and smells like a bushel of fresh bananas. Although it leans towards an indica genetically, the effects are balanced by the Haze’s mellow sativa buzz that provides a relaxed sense of euphoria. A great choice when dealing with stress or depression, Banana Kush also helps stimulate your creative juices and can help you remain talkative in social settings."
Banana-Og,hybrid,4.4,"Relaxed,Happy,Hungry,Euphoric,Sleepy","Tropical,Earthy,Sweet","Banana OG is an indica-dominant cross between OG Kush and Banana. With a smell and flavor of overripe bananas, this hybrid definitely earns its name. Banana OG has tested at over 25% THC and has a reputation as a “creeper,” leaving those who over-imbibe in a near comatose state before intense hunger and sleepiness sets in. Patients treating muscular pain, loss of appetite, and insomnia may benefit from Banana OG."
Banana-Peel,hybrid,4.7,"Relaxed,Euphoric,Uplifted,Happy,Sleepy","Spicy/Herbal,Tropical,Earthy","Banana Peel is a hybrid cannabis strain bred by Illuminati Seeds that descends from Banana OG (Laffy Taffy cut) and Pestilence, an Abusive OG and West Coast Dawg cross. Together, these parent strains bring both flavor and potency to the mix. With sweet flavors of banana taffy, Banana Peel delivers a crushing wave of euphoria that will have you hitting the couch like bricks. "
Bananas,hybrid,4.5,"Relaxed,Energetic,Happy,Uplifted,Focused","Tropical,Grape,Vanilla","Bananas from Leafs by Snoop is an indica-dominant hybrid strain offered in concentrate form. This shatter intends to capture sweet tropical flavors of fruit and banana, and offers energizing cerebral effects to fuel creativity. This strain is high in THC with a potency that’s said to stretch to 22%."
Bandana,hybrid,4.2,"Euphoric,Happy,Relaxed,Talkative,Creative","Earthy,Pungent,Woody","Bandana is a hybrid strain that combines Banana OG and 707 Headband, inheriting from its parents a sweet banana aroma and the buzzing cerebral sensation that first lent Headband its name. On the exhale, Bandana unleashes its fruity flavor over subtle earthy and sour notes. Powerful, heady euphoria awakens blissful relaxation in the mind while leaving the body feeling light and free of couchlocked sedation. It should be noted that AlphaKronik Genes bred a 70% sativa variation of Bandana that combines 707 Headband with a backcrossed Snowdawg."
Bangi-Haze,sativa,0,"Aroused,Uplifted,Euphoric,Hungry","Berry,Tree,Fruit,Cheese","Bangi Haze by Ace Seeds is an energetic sativa with old world genetics. An F8 stabilized cross of Congolese and Nepalese, these resilient landrace genetics give the strain strong resistance to both mold and cold climates, which make it a suitable choice for outdoor growers. This stimulating flower emits an intoxicating floral aroma with pronounced notes of lemon and anise. Utilize Bangi Haze to stimulate the body and promote activity. "
Bango,hybrid,4.7,"Uplifted,Creative,Energetic,Euphoric,Focused","Lime,Earthy,Pungent","Bango is a hybrid strain with a rich terpene profile and tropical flavors worth sharing. This hybrid is a combination of White Fire Alien OG and Mango Kush, exhibiting subtle hints of each on the nose and palate. With sweet, fruity flavors of mango, banana, and pine, and an aroma with sweet floral notes and citrus peel, Bango offers an enchanting bouquet that will linger in the air. Bango’s effects are equal parts cerebral and stimulating, and is certain to get you talking. This strain is preferred for mood elevation, appetite stimulation, and nullifying depression. "
Barbara-Bud,indica,3.6,"Relaxed,Euphoric,Happy,Hungry,Uplifted","Citrus,Earthy,Mango","Barbara Bud is powerful indica cross between Shishkaberry and Afghani that eliminates symptoms without too much mental cloudiness. It has a fruity, citrus aroma with sweet undertones of bubblegum, and many patients have found Barbara Bud to help with pain, stress, and muscle spasms."
Batgirl,hybrid,5,"Euphoric,Relaxed",None,"Batgirl is a sativa-dominant hybrid with beautiful effects. This Jack’s Cleaner and Blueberry cross brings out a unique and pleasant aroma of sweet berry and spicy chemicals. The strain’s hybrid effects express themselves as a heady euphoria that uplifts the mind while gently coating the body in calming haze. Weight can be felt on the eyelids as Batgirl circulates a warm, calming sensation through the body, making this strain ideal for consumers looking to shrug off stress and fatigue while improving mood."
